[16, 38, 99, 66, 83, 21, 17, 39, 51, 74]
[94, 39, 65, 49, 61, 80, 88, 52, 24, 44]
[91, 75, 68, 34, 39, 83, 60, 5, 79, 52]
[68, 1, 17, 79, 37, 33, 9, 42, 73, 23]
[90, 47, 41, 34, 60, 27, 18, 83, 42, 69]
[64, 55, 34, 6, 1, 76, 18, 91, 50, 86]
[16, 6, 50, 74, 22, 55, 87, 99, 65, 83]
[80, 4, 35, 12, 31, 17, 94, 88, 41, 24]
[100, 10, 66, 4, 90, 41, 23, 45, 50, 13]
[50, 10, 35, 52, 83, 95, 90, 45, 98, 88]
[49, 3, 28, 33, 58, 38, 42, 85, 87, 75]
[89, 26, 31, 98, 29, 73, 4, 88, 43, 50]
[100, 10, 88, 93, 36, 44, 99, 45, 85, 4]
[51, 61, 50, 70, 40, 29, 59, 63, 1, 53]
[46, 30, 79, 25, 63, 81, 28, 73, 82, 88]
[41, 17, 21, 99, 51, 94, 57, 86, 96, 13]
[80, 94, 82, 85, 64, 12, 54, 74, 75, 23]
[69, 65, 75, 35, 42, 78, 66, 90, 4, 49]
[84, 45, 37, 13, 47, 39, 23, 3, 54, 7]
[60, 19, 6, 11, 85, 37, 14, 99, 91, 24]
[75, 17, 51, 55, 31, 18, 11, 98, 15, 96]
[32, 12, 71, 26, 3, 100, 30, 83, 47, 23]
[82, 71, 28, 33, 21, 48, 42, 63, 1, 20]
[21, 29, 70, 83, 32, 64, 24, 6, 58, 78]
[33, 43, 8, 74, 79, 95, 90, 1, 57, 19]
[62, 27, 65, 70, 69, 52, 41, 47, 7, 59]
[32, 2, 57, 33, 98, 6, 99, 78, 76, 60]
[6, 85, 14, 73, 4, 99, 52, 84, 72, 67]
[48, 46, 58, 87, 89, 90, 95, 54, 94, 52]
[28, 84, 59, 52, 97, 23, 25, 62, 57, 27]
[51, 30, 14, 64, 12, 86, 87, 85, 22, 80]
[37, 77, 86, 12, 24, 55, 32, 16, 44, 1]
[71, 37, 2, 64, 34, 73, 46, 89, 70, 57]
[38, 70, 77, 28, 65, 39, 17, 74, 25, 5]
[86, 8, 7, 40, 18, 30, 52, 72, 63, 17]
[15, 37, 91, 14, 85, 61, 100, 65, 13, 78]
[83, 20, 45, 21, 67, 39, 77, 64, 12, 9]
[17, 33, 59, 27, 36, 23, 25, 78, 86, 94]
[2, 13, 53, 22, 23, 6, 66, 90, 82, 41]
[28, 14, 92, 52, 29, 4, 86, 77, 5, 66]
[53, 65, 25, 11, 43, 73, 90, 97, 50, 28]
[45, 23, 21, 26, 76, 80, 22, 31, 24, 48]
[39, 89, 37, 4, 54, 55, 33, 81, 47, 88]
[44, 88, 63, 27, 84, 46, 42, 18, 20, 90]
[47, 40, 73, 96, 46, 60, 92, 93, 59, 83]
[26, 66, 38, 100, 17, 23, 13, 37, 57, 75]
[15, 35, 72, 9, 3, 22, 19, 74, 61, 87]
[12, 89, 95, 51, 23, 90, 47, 22, 79, 2]
[90, 89, 50, 56, 87, 53, 40, 30, 18, 36]
[87, 68, 66, 7, 51, 92, 29, 5, 88, 23]
[36, 85, 76, 44, 73, 56, 28, 72, 20, 38]
[73, 29, 3, 91, 9, 50, 22, 63, 99, 95]
[57, 72, 55, 26, 16, 9, 77, 91, 21, 6]
[30, 91, 95, 81, 11, 24, 16, 14, 82, 64]
[92, 47, 55, 36, 58, 45, 30, 34, 68, 16]
[96, 85, 39, 41, 25, 33, 80, 44, 8, 70]
[5, 24, 47, 4, 74, 16, 83, 42, 59, 91]
[96, 56, 21, 35, 42, 29, 47, 74, 38, 40]
[69, 48, 29, 45, 84, 68, 76, 64, 61, 19]
[28, 18, 19, 53, 44, 66, 29, 42, 70, 24]
[87, 59, 61, 21, 66, 44, 9, 65, 7, 26]
[50, 75, 91, 64, 48, 68, 27, 80, 90, 73]
[30, 99, 73, 24, 27, 59, 15, 60, 78, 25]
[65, 5, 44, 88, 42, 1, 33, 50, 4, 86]
[36, 47, 10, 38, 45, 29, 88, 51, 68, 85]
[71, 64, 4, 18, 72, 13, 70, 60, 30, 14]
[87, 92, 70, 72, 77, 15, 75, 53, 90, 74]
[59, 14, 41, 53, 7, 1, 85, 54, 13, 22]
[23, 4, 3, 21, 65, 76, 89, 92, 98, 97]
[58, 60, 40, 20, 26, 95, 52, 28, 30, 34]
[87, 49, 90, 39, 31, 52, 57, 40, 83, 19]
[67, 65, 42, 40, 79, 25, 20, 2, 11, 85]
[21, 47, 99, 13, 90, 24, 33, 54, 95, 93]
[7, 75, 21, 74, 25, 11, 57, 6, 76, 97]
[29, 17, 86, 34, 53, 72, 25, 10, 90, 40]
[57, 83, 37, 84, 66, 64, 2, 20, 72, 32]
[60, 19, 88, 36, 81, 53, 54, 68, 44, 63]
[85, 72, 91, 77, 79, 97, 24, 35, 22, 73]
[58, 59, 11, 2, 6, 78, 26, 89, 54, 39]
[50, 6, 21, 33, 2, 64, 83, 1, 97, 55]
[53, 91, 1, 15, 50, 93, 28, 48, 27, 77]
[32, 2, 19, 10, 89, 81, 53, 60, 59, 94]
[94, 89, 54, 58, 8, 57, 34, 87, 56, 76]
[95, 65, 51, 56, 60, 82, 53, 96, 54, 8]
[54, 8, 16, 88, 37, 71, 13, 23, 56, 22]
[11, 71, 5, 52, 90, 95, 74, 56, 40, 12]
[5, 57, 37, 14, 32, 44, 91, 36, 27, 29]
[80, 35, 22, 82, 5, 44, 45, 94, 34, 64]
[97, 33, 61, 16, 55, 12, 4, 73, 9, 32]
[29, 66, 72, 88, 26, 19, 91, 2, 87, 4]
[17, 46, 41, 11, 40, 24, 94, 32, 89, 69]
[69, 12, 67, 66, 6, 52, 4, 36, 63, 3]
[14, 40, 72, 58, 45, 32, 94, 85, 34, 50]
[92, 28, 40, 2, 13, 14, 44, 64, 90, 33]
[37, 65, 78, 6, 92, 70, 39, 13, 86, 25]
[97, 11, 51, 19, 46, 73, 16, 44, 31, 26]
[6, 69, 80, 46, 21, 82, 68, 47, 40, 96]
[49, 98, 26, 36, 83, 21, 32, 82, 71, 97]
[41, 63, 76, 91, 98, 30, 56, 44, 75, 23]
[23, 83, 14, 12, 33, 17, 43, 65, 49, 59]
[95, 32, 64, 83, 45, 27, 54, 5, 49, 24]
[7, 82, 91, 34, 73, 38, 77, 5, 46, 17]
[97, 75, 10, 83, 77, 49, 33, 23, 46, 96]
[50, 8, 12, 46, 51, 69, 23, 49, 84, 54]
[38, 42, 10, 30, 33, 54, 97, 25, 13, 5]
[43, 36, 30, 17, 38, 14, 25, 99, 83, 34]
[17, 21, 28, 47, 4, 76, 64, 12, 71, 26]
[36, 95, 28, 93, 3, 72, 12, 55, 78, 98]
[87, 70, 6, 68, 61, 83, 2, 25, 1, 78]
[21, 25, 46, 97, 99, 60, 94, 45, 15, 34]
[72, 85, 19, 20, 48, 44, 74, 17, 98, 30]
[72, 47, 38, 84, 6, 90, 64, 100, 15, 46]
[64, 32, 2, 44, 92, 5, 75, 45, 57, 94]
[72, 93, 16, 91, 39, 99, 90, 98, 21, 79]
[37, 98, 76, 74, 45, 36, 99, 64, 26, 10]
[76, 72, 37, 22, 89, 57, 31, 59, 29, 97]
[9, 77, 10, 43, 91, 16, 58, 20, 71, 72]
